id,type,amount_charged,income,expense,payment_method,contact_id,service_id,user_id,comment,created_at
1165a278-e18f-5df6-a087-81d454cc6880,servicio,35000,35000,0,transferencia,8ebf8f78-3f0c-5014-8de8-7b6cc36fb399,910784b4-4669-5b74-bbb2-997a4d659b45,,Hora: 5:09 p.m.,2025-07-07
8f77f596-c553-5ad2-a027-223be20212bb,servicio,35000,35000,0,pos,403657ca-b515-5c11-9aee-eccda1d3906f,910784b4-4669-5b74-bbb2-997a4d659b45,,Hora: 5:50 p.m.,2025-07-07
0553a275-1304-596d-840a-5cad110484bc,servicio,35000,35000,0,efectivo,b2a24650-1f63-5d6c-956c-a963d1482d80,910784b4-4669-5b74-bbb2-997a4d659b45,,Hora: 5:51 p.m.,2025-07-07
c6768e9e-ef0f-56e4-9ff0-3bbf29ebb6f2,servicio,40000,40000,0,transferencia,9c0d8d26-aa71-50b8-9c35-acc7aed9dae1,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 6:47 p.m.,2025-07-07
d64f86c4-cebb-5aca-b6d9-565bc2eae3dd,servicio,40000,40000,0,transferencia,1c428c0d-9b70-58df-ba7c-48315cca8934,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 7:46 p.m.,2025-07-07
0ae54081-0e84-5efa-a692-5c72464abfd8,servicio,40000,40000,0,transferencia,cac5fbdf-3283-525f-800c-365087f10599,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 8:37 p.m.,2025-07-07
5a109d8d-f2a0-54b3-a643-0276388a842f,servicio,40000,40000,0,efectivo,5e8c37ce-10aa-5dc5-9847-3cdb64422ad3,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 11:53 a.m.,2025-07-08
d729de59-3598-51f0-ab41-2a2bb627de3c,servicio,40000,40000,0,efectivo,f808b6d7-0daf-5e66-a646-4dc6a829a335,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 2:43 p.m.,2025-07-08
0e51603f-6ef8-5e0c-8ac5-b2cc5085c271,servicio,40000,40000,0,pos,d3a59015-23ec-528a-971b-f6a64c526e09,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 3:14 p.m.,2025-07-08
c4599c2a-db5c-50ce-93b4-228c161d5d20,servicio,40000,40000,10,efectivo,a008dff8-b630-57ca-b3bf-d2ac97e3b2eb,b4af6236-368c-5f96-a685-e8faf26e5144,,Hora: 3:40 p.m.,2025-07-08
